,pcid,compName,smile,iupac name
71,53422473,1-Hexyloxy-1-isopentyloxyethane,CCCCCCOC(C)OCCC(C)C,1-[1-(3-methylbutoxy)ethoxy]hexane
72,8299,1-Hydroxypropan-2-one,CC(=O)CO,1-hydroxypropan-2-one
73,146679225,1-Isobutoxy-1-ethoxy-2-methylpropane,CCOC(C(C)C)OCC(C)C,1-ethoxy-2-methyl-1-(2-methylpropoxy)propane
74,3020407,1-Isobutoxy-1-ethoxy-3-methylbutane,CCOC(CC(C)C)OCC(C)C,1-ethoxy-3-methyl-1-(2-methylpropoxy)butane
75,19964035,1-Isobutoxy-1-ethoxypropane,CCC(OCC)OCC(C)C,1-(1-ethoxypropoxy)-2-methylpropane
76,86278356,1-Isobutoxy-1-isopentyloxy-3-methylbutane,CC(C)CCOC(CC(C)C)OCC(C)C,3-methyl-1-(3-methylbutoxy)-1-(2-methylpropoxy)butane
77,53428150,1-Isopentyloxy-1-pentyloxyethane,CCCCCOC(C)OCCC(C)C,1-[1-(3-methylbutoxy)ethoxy]pentane
78,53428151,1-Isopentyloxy-1-propoxyethane,CCCOC(C)OCCC(C)C,3-methyl-1-(1-propoxyethoxy)butane
79,53428152,1-Isopentyloxy-1-propoxypropane,CCCOC(CC)OCCC(C)C,3-methyl-1-(1-propoxypropoxy)butane
80,62385,1-Isopropenyl-4-methylbenzene,CC1=CC=C(C=C1)C(=C)C,1-methyl-4-prop-1-en-2-ylbenzene
81,14104,1-Isopropyl-2-methoxy-4-methylbenzene,CC1=CC(=C(C=C1)C(C)C)OC,2-methoxy-4-methyl-1-propan-2-ylbenzene
82,33637,1-Methoxy-2-methylbenzene,CC1=CC=CC=C1OC,1-methoxy-2-methylbenzene
83,7731,1-Methoxy-4-methylbenzene,CC1=CC=C(C=C1)OC,1-methoxy-4-methylbenzene
84,7702,1-Methoxy-4-propylbenzene,CCCC1=CC=C(C=C1)OC,1-methoxy-4-propylbenzene
85,16668,1-Methoxynaphthalene,COC1=CC=CC2=CC=CC=C21,1-methoxynaphthalene
86,61517,1-Methyl-3-phenylpropyl acetate,CC(CCC1=CC=CC=C1)OC(=O)C,4-phenylbutan-2-yl acetate
87,2775665,1-Methyl-3-trifluoromethyl-1H-pyrazole-4-carboxylic acid,CN1C=C(C(=N1)C(F)(F)F)C(=O)O,1-methyl-3-(trifluoromethyl)pyrazole-4-carboxylic acid
88,12278,1-Methylbutyl acetate,CCCC(C)OC(=O)C,pentan-2-yl acetate
